Model,MSE,R_squared
Linear Regression,686830534898.2261,0.36336727264820523
Random Forest,410342406608.53217,0.6196479448806118
Gradient Boosting,495516119734.4499,0.5406992515263374
KNN Regression,397261480740.9253,0.6317728360848376
